No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
54,Cl,151.478,3.3,10.5,7.7,25.83,48.0,False
54,F,199.14,0.6,3.6,3.3,89.62,378.0,True
54,K,119.485,182.4,27.1,22.3,1.53,57.0,False
54,Mn,146.243,2.5,2.1,1.7,18.16,280.0,False
54,Al,90.995,872.9,13.4,10.3,0.77,155.0,False
54,P,197.118,15.0,3.0,2.4,6.72,144.0,False
54,Mg,107.534,602.1,38.0,0.0,0.94,169.0,False
54,Ca,107.121,1957.5,33.1,32.6,0.51,86.0,False
54,Ti,88.305,689.1,0.0,48.9,0.88,130.0,False
55,Na,129.476,212.9,0.0,18.2,2.26,161.0,False
55,S,171.948,0.8,5.7,5.8,78.17,117.0,True
55,Fe,134.739,185.2,2.5,2.4,1.67,356.0,False
55,Si,77.822,3666.2,30.7,19.6,0.37,225.0,False
55,Cl,151.478,2.9,8.1,8.3,27.44,45.0,False
55,F,199.14,0.9,3.7,3.1,56.31,378.0,True
55,K,119.485,182.2,27.1,22.3,1.53,57.0,False
55,Mn,146.243,2.0,2.3,1.6,22.21,282.0,False
55,Al,90.995,878.7,18.6,8.7,0.77,168.0,False
55,P,197.118,13.6,2.9,2.2,7.09,140.0,False
55,Mg,107.534,596.0,39.5,0.0,0.95,172.0,False
55,Ca,107.121,1956.8,33.3,34.8,0.51,88.0,False
55,Ti,88.305,689.0,0.0,47.1,0.88,128.0,False
56,Na,129.476,238.6,0.0,19.7,2.13,167.0,False
56,S,171.948,18.9,6.1,5.1,5.3,115.0,False
56,Fe,134.739,162.4,3.7,3.2,1.79,418.0,False
56,Si,77.822,3630.7,30.4,16.3,0.37,218.0,False
56,Cl,151.478,5.6,7.8,8.7,15.45,46.0,False
56,F,199.14,0.2,2.7,2.8,240.25,333.0,True
56,K,119.485,43.4,22.6,21.3,3.95,54.0,False
56,Mn,146.243,2.4,2.1,1.9,19.42,288.0,False
56,Al,90.995,979.9,16.2,8.2,0.72,158.0,False
56,P,197.118,6.0,3.1,2.8,12.83,152.0,False
56,Mg,107.534,831.3,43.2,0.0,0.8,180.0,False
56,Ca,107.121,2346.8,36.9,36.1,0.47,91.0,False
56,Ti,88.305,312.1,0.0,47.8,1.36,129.0,False
57,Na,129.476,239.5,0.0,16.1,2.11,151.0,False
57,S,171.948,19.4,5.8,5.1,5.18,113.0,False
57,Fe,134.739,160.6,2.9,3.2,1.8,402.0,False
57,Si,77.822,3649.7,32.3,18.7,0.37,227.0,False
